ENTITY	COUNT	WINDOWSIZE1	WINDOWSIZE2	WINDOWSIZE3	WINDOWSIZE4	WINDOWSIZE5
hierarchical topic segmentation	9	N/A	N/A	N/A	N/A	N/A
range minimum queries	9	N/A	N/A	N/A	N/A	N/A
primary hashing	9	N/A	N/A	N/A	N/A	N/A
alternate maximization	9	METHOD MD:2	PROBLEM PM:1	METHOD MD:2 PM:1 MC:1	METHOD MD:1	METHOD MD:2
average clicks	9	N/A	N/A	N/A	N/A	N/A
news story segmentation	9	PROBLEM MD:1 PM:5	N/A	N/A	PROBLEM PM:1	N/A
entity relevance model	9	N/A	N/A	N/A	METHOD MD:1 DT:1	N/A
minimal perfect hash function	9	N/A	N/A	METHOD MD:1	N/A	N/A
hera presentation generator	9	N/A	N/A	PROBLEM PM:1	PROBLEM PM:1	N/A
named entity recognizers	9	N/A	N/A	N/A	N/A	N/A
national weather service	9	N/A	N/A	DATASET DT:1	N/A	N/A
interval temporal logic	9	N/A	N/A	N/A	N/A	N/A
tree based hierarchical graph	9	N/A	N/A	METHOD MD:1	N/A	N/A
longest common subsequences	9	N/A	N/A	METHOD MD:1 MC:1	N/A	METRIC MC:1
maximum marginal relevance	9	N/A	N/A	N/A	PROBLEM PM:1	METHOD MD:1
smart city services platform	9	N/A	N/A	METHOD MD:1	N/A	METHOD MD:1
attribute value taxonomies	9	N/A	DATASET DT:5	N/A	DATASET DT:3	METHOD MD:1
concept feedback	9	N/A	N/A	DATASET DT:1	N/A	N/A
hypermedia as the engine of application state	9	N/A	N/A	N/A	METHOD MD:1	N/A
query efficiency predictors	9	N/A	METHOD MD:1	N/A	METHOD MD:1	N/A
collaborative privacy management	9	N/A	METHOD MD:1 PM:1	DATASET DT:1	METHOD MD:2	N/A
statement reordering	9	N/A	N/A	N/A	N/A	N/A
hybrid prediction model	9	N/A	N/A	METRIC MC:1	METRIC MC:1	N/A
american cancer society	9	N/A	N/A	N/A	N/A	N/A
personalized pagerank vectors	9	N/A	N/A	N/A	METHOD MD:1	N/A
suffix equivalent set	9	N/A	PROBLEM PM:1	N/A	N/A	N/A
human computing	9	N/A	N/A	N/A	N/A	N/A
bayesian classifier combination	9	N/A	METHOD MD:1	N/A	METHOD MD:2	N/A
dependency parses	9	N/A	N/A	N/A	N/A	N/A
median absolute deviation	9	N/A	N/A	N/A	METHOD MD:1	DATASET DT:1
bi normal separation	9	METRIC MC:1	METHOD MD:1 MC:1	N/A	METRIC MC:2	N/A
object relation network	9	METHOD MD:1	N/A	METHOD MD:1	N/A	N/A
recurrence plot	9	N/A	N/A	N/A	N/A	METRIC PM:1 MC:2
optimal split point	9	N/A	N/A	N/A	N/A	N/A
data transfer object	9	N/A	N/A	N/A	N/A	N/A
program dependence graphs	9	N/A	N/A	N/A	N/A	N/A
fault tolerant torus	9	N/A	N/A	N/A	PROBLEM PM:1	N/A
frequency based method	9	N/A	N/A	METHOD MD:1	N/A	METHOD MD:1 DT:1
shortest path search	9	METHOD MD:1	N/A	METHOD MD:1 MC:1	METHOD MD:1	N/A
link function classification	9	METHOD MD:2	PROBLEM PM:1	PROBLEM PM:1	METHOD MD:1	PROBLEM PM:1
software configuration management	9	PROBLEM PM:1	N/A	N/A	N/A	DATASET DT:1
advanced distributed learning	9	N/A	N/A	N/A	METHOD MD:1	METHOD MD:1
statistical arbitrage mining	9	N/A	METHOD MD:1 PM:1	N/A	PROBLEM PM:1 DT:1	N/A
film actors	9	N/A	N/A	N/A	N/A	N/A
probit bayesian inference	9	N/A	N/A	N/A	PROBLEM PM:1	N/A
subcategorization frames	9	N/A	N/A	N/A	N/A	N/A
multiple sclerosis	9	N/A	METHOD MD:1	METHOD MD:1	N/A	N/A
base noun phrase	9	N/A	N/A	N/A	DATASET DT:1	N/A
non negative least square	9	METHOD MD:1 PM:1	PROBLEM PM:1	N/A	N/A	N/A
probabilistic soft logic	9	N/A	N/A	N/A	N/A	N/A
history guided recommendation	9	METHOD MD:2 PM:1	METHOD MD:1	METHOD MD:1	N/A	N/A
predictive discrete latent factor	9	METHOD MD:1	N/A	N/A	METHOD MD:1	N/A
graphics processing units	9	N/A	N/A	N/A	DATASET DT:1	N/A
multiple choice knapsack problem	9	N/A	N/A	PROBLEM PM:1	METHOD MD:1	PROBLEM PM:1
temporal web analytics workshop	9	N/A	N/A	N/A	N/A	N/A
business logic layer	9	N/A	N/A	PROBLEM PM:1 DT:1	N/A	PROBLEM PM:1
piecewise linear representation	9	N/A	N/A	N/A	DATASET DT:1	N/A
new york stock exchange	9	DATASET DT:1	N/A	N/A	N/A	DATASET DT:1
least frequently used	9	N/A	N/A	N/A	N/A	N/A
hinge loss markov random fields	9	N/A	METHOD MD:1	METHOD MD:2	N/A	N/A
discriminant learning analysis	9	METHOD MD:1	METHOD MD:2	METHOD MD:1	METHOD MD:1 PM:1	N/A
customer service representative	9	N/A	N/A	N/A	N/A	N/A
multi process	9	METHOD MD:2	N/A	N/A	METHOD MD:2	N/A
request for comments	9	N/A	N/A	N/A	N/A	PROBLEM PM:4
coupled hidden markov models	9	N/A	N/A	N/A	METHOD MD:1	METHOD MD:1
other disciplines	9	N/A	DATASET DT:1	N/A	N/A	N/A
certificate authorities	9	N/A	N/A	N/A	N/A	N/A
latent geographical topic analysis	9	METHOD MD:2	N/A	N/A	METHOD MD:4	N/A
aggregated heat kernel	9	N/A	METHOD MD:1	METHOD MD:2	N/A	METRIC MC:1
configuration items	9	N/A	PROBLEM PM:1	METHOD MD:1 PM:1	N/A	METHOD MD:2
bigram topic model	9	N/A	N/A	N/A	METHOD MD:1	N/A
network coordinate	9	PROBLEM PM:5	N/A	N/A	N/A	N/A
ontology inference layer	9	N/A	N/A	N/A	N/A	N/A
entity selection optimization	9	PROBLEM PM:1	N/A	PROBLEM PM:1	PROBLEM PM:4	PROBLEM PM:2
xml schema definitions	9	N/A	PROBLEM PM:1	DATASET DT:1	N/A	N/A
uniform resource identifier	9	N/A	N/A	N/A	N/A	DATASET DT:1
university transportation center	9	N/A	N/A	N/A	N/A	N/A
sparql query rewriting	9	N/A	N/A	METHOD MD:1 DT:1	METHOD MD:2	N/A
domain specific model	9	N/A	N/A	N/A	N/A	DATASET DT:1
take a chance	9	METRIC MC:1	N/A	N/A	N/A	N/A
subspace sampling	9	N/A	N/A	METHOD MD:1	METHOD MD:2	N/A
mean average satisfaction	9	N/A	N/A	N/A	N/A	METRIC MC:1
radial basis functions	9	N/A	PROBLEM PM:1	N/A	N/A	N/A
weighted low rank approximation	9	PROBLEM PM:1	N/A	METHOD MD:1 DT:1	N/A	PROBLEM PM:1
maximal profit item selection	9	PROBLEM PM:2	METHOD MD:1 PM:1	N/A	N/A	N/A
retained set	9	N/A	N/A	N/A	DATASET DT:1	N/A
approved performer program	9	N/A	N/A	N/A	N/A	N/A
content services network	9	N/A	METHOD MD:2	METHOD MD:1	N/A	N/A
time sync commented	9	N/A	PROBLEM PM:1 DT:1	N/A	N/A	N/A
orienteering problem	9	N/A	N/A	N/A	PROBLEM PM:1	PROBLEM PM:2
accepted termination states	9	N/A	N/A	N/A	N/A	N/A
learning analytics	9	N/A	N/A	DATASET DT:1	N/A	N/A
java message service	9	N/A	METHOD MD:1	METHOD MD:1	N/A	DATASET DT:1
disease susceptibility	9	N/A	N/A	N/A	N/A	N/A
short only	9	N/A	N/A	N/A	N/A	N/A
cross task crowdsourcing	9	PROBLEM PM:1	PROBLEM PM:2	PROBLEM PM:1	METHOD MD:1	N/A
grammatical inference	9	N/A	N/A	PROBLEM PM:1	N/A	N/A
border identification	9	N/A	METHOD MD:1	METHOD MD:2	N/A	N/A
value difference metric	9	N/A	N/A	METRIC MC:2	N/A	N/A
bookmark coloring algorithm	9	N/A	METHOD MD:1	N/A	METHOD MD:1	METHOD MD:1
semantic concept mapping	9	N/A	METHOD MD:2 PM:1	METHOD MD:1	N/A	N/A
multi cluster feature selection	9	METHOD MD:1	METHOD MD:1	METHOD MD:3	METHOD MD:1	N/A
monte carlo markov chain	9	METHOD MD:2	METHOD MD:1	METHOD MD:1	METHOD MD:1	METRIC MC:1
automatic composition engine	9	N/A	N/A	PROBLEM PM:1	N/A	N/A
rhetorical entities	9	N/A	N/A	N/A	N/A	N/A
game with a purpose	9	N/A	N/A	N/A	METHOD MD:1	N/A
minimum rule set	9	PROBLEM PM:3	N/A	N/A	PROBLEM MD:1 PM:2	N/A
link bootstrapping sampling	9	METHOD MD:1	METHOD MD:1	N/A	METHOD MD:2	N/A
rank correlation coefficients	9	N/A	N/A	N/A	N/A	N/A
session utility	8	N/A	N/A	N/A	N/A	N/A
social analytic engine	8	N/A	N/A	N/A	N/A	METHOD MD:1
distributed model based clustering	8	METHOD MD:1	N/A	METHOD MD:1	METHOD MD:1 PM:1	N/A
optical music recognition	8	N/A	N/A	N/A	PROBLEM PM:1	N/A
disjunctive query	8	N/A	N/A	N/A	METHOD MD:1	N/A
bayesian poisson tensor factorization	8	N/A	N/A	N/A	N/A	PROBLEM PM:1
affirmative action	8	N/A	PROBLEM PM:1	N/A	N/A	N/A
latent transition model	8	N/A	N/A	METHOD MD:2	N/A	METHOD MD:2
luminance contrast	8	N/A	N/A	N/A	N/A	N/A
narrower terms	8	N/A	N/A	N/A	N/A	N/A
relative anonymity level	8	N/A	N/A	N/A	N/A	N/A
certification authorities	8	N/A	N/A	N/A	N/A	N/A
rhetorical structure theory	8	N/A	N/A	METHOD MD:1	N/A	N/A
order break	8	PROBLEM PM:1	N/A	N/A	PROBLEM PM:1	N/A
knowledge tracing	8	N/A	METHOD MD:1	METHOD MD:1 DT:1	N/A	N/A
plurality vote	8	METHOD MD:1	N/A	N/A	N/A	METHOD MD:1
extended validation	8	N/A	N/A	N/A	N/A	N/A
query profile graphs	8	N/A	N/A	N/A	N/A	N/A
high pressure	8	N/A	METHOD MD:1 PM:1	N/A	N/A	N/A
mean absolute percentage error	8	N/A	METRIC MC:1	N/A	N/A	N/A
rights expression language	8	N/A	N/A	N/A	PROBLEM PM:1	N/A
contiguous sequential patterns	8	N/A	METHOD MD:1	N/A	N/A	N/A
parametric mixture model	8	N/A	METHOD MD:2	N/A	N/A	METRIC MC:1
air traffic control	8	N/A	N/A	N/A	N/A	N/A
diabetes pedigree function	8	N/A	N/A	N/A	N/A	N/A
cross language web search	8	N/A	N/A	N/A	METHOD MD:1 PM:1	N/A
potential travel distance	8	METRIC MC:1	N/A	N/A	METRIC PM:1 MC:5	N/A
divergence from randomness	8	METHOD MD:1	METHOD MD:1	METRIC MC:1	METHOD MD:2	N/A
ratio association values	8	N/A	METRIC MC:1	METHOD MD:1	N/A	N/A
china scholarship council	8	N/A	N/A	N/A	N/A	N/A
integrity constraint	8	N/A	N/A	N/A	DATASET DT:1	N/A
road temperature	8	N/A	N/A	N/A	N/A	METRIC MC:1
adaptive betweenness centrality	8	N/A	N/A	N/A	N/A	N/A
content query language	8	N/A	N/A	DATASET DT:1	N/A	DATASET DT:1
sparse factor analysis	8	N/A	N/A	N/A	METHOD MD:1	N/A
query by document	8	METHOD MD:1	N/A	N/A	N/A	N/A
core routers	8	N/A	N/A	DATASET DT:1	DATASET DT:1	DATASET DT:1
semi supervised discriminant analysis	8	METHOD MD:1	N/A	N/A	METHOD MD:1	N/A
web services security	8	N/A	N/A	METHOD MD:1	METHOD MD:1	N/A
fast flux discriminant	8	N/A	METHOD MD:1	N/A	METHOD MD:1	N/A
hierarchical pachinko allocation model	8	N/A	N/A	METHOD MD:3 PM:1 DT:1	N/A	N/A
decision points	8	N/A	N/A	METRIC MC:1	N/A	N/A
naive bayes learner	8	N/A	N/A	METHOD MD:2	N/A	N/A
do it yourself	8	DATASET DT:1	N/A	N/A	METHOD MD:1	N/A
independent predictor	8	N/A	N/A	N/A	N/A	N/A
rmq trie	8	N/A	N/A	N/A	METHOD MD:1	N/A
hierarchical beta process	8	N/A	METHOD MD:2 PM:2	N/A	N/A	METHOD MD:1 PM:1
relaxed online maximum margin algorithm	8	N/A	N/A	N/A	N/A	N/A
variational inequality	8	N/A	N/A	N/A	N/A	PROBLEM PM:3
media development authority	8	N/A	N/A	N/A	N/A	N/A
description logic programs	8	N/A	N/A	N/A	N/A	N/A
nugget based sense making	8	METHOD MD:1 PM:1	N/A	N/A	N/A	N/A
page hinkley test	8	N/A	N/A	PROBLEM PM:1	N/A	METRIC MC:1
tightly knit community	8	N/A	N/A	N/A	N/A	METRIC MC:1
online resource allocation	8	PROBLEM PM:1	N/A	N/A	METRIC MC:1	N/A
wireless markup language	8	N/A	N/A	N/A	N/A	N/A
unified kernel logistic regression	8	PROBLEM PM:1	METHOD MD:1 PM:1	N/A	PROBLEM PM:1	METHOD MD:1
causes of death	8	N/A	DATASET DT:2	N/A	N/A	DATASET DT:2
weighted nonnegative matrix factorization	8	N/A	METHOD MD:1	N/A	METHOD MD:1	N/A
radio resource control	8	N/A	N/A	N/A	PROBLEM PM:1	N/A
cardinal peer grading	8	PROBLEM PM:1	N/A	METHOD MD:1	N/A	N/A
blood urea nitrogen	8	N/A	N/A	METRIC MC:1	METHOD MD:1	N/A
all pairs shortest path	8	PROBLEM PM:3	N/A	N/A	N/A	N/A
document type definitions	8	N/A	N/A	N/A	N/A	N/A
closed enumeration tree	8	N/A	N/A	N/A	DATASET DT:4	N/A
mel frequency cepstral coefficients	8	N/A	N/A	N/A	N/A	N/A
structural logistic regression	8	N/A	N/A	METHOD MD:2	N/A	N/A
norm metric	8	N/A	N/A	N/A	METRIC MC:1	METRIC MC:1
effective market problem	8	N/A	N/A	METHOD MD:1	METHOD MD:2	N/A
directed minimum spanning tree	8	METHOD MD:1	N/A	N/A	METHOD MD:2	N/A
adaptive hoeffding option trees	8	N/A	N/A	N/A	N/A	N/A
british machine vision conference	8	N/A	N/A	N/A	N/A	N/A
personal topic community network	8	N/A	N/A	N/A	N/A	N/A
sequential dual method	8	N/A	N/A	N/A	N/A	N/A
semantic web information systems	8	N/A	N/A	N/A	N/A	N/A
structural classification of proteins	8	DATASET DT:5	N/A	N/A	DATASET DT:1	DATASET DT:1
mean relative error	8	N/A	N/A	N/A	N/A	N/A
normalized google distance	8	N/A	N/A	METRIC MC:1	N/A	N/A
quadratic problem	8	N/A	N/A	N/A	N/A	N/A
fixed point continuation	8	METHOD MD:4	N/A	N/A	METHOD MD:2	N/A
target candidates	8	N/A	N/A	N/A	PROBLEM PM:1	N/A
iterated conditional modes	8	N/A	N/A	N/A	METHOD MD:6	N/A
context based information agent	8	N/A	N/A	N/A	N/A	N/A
stochastic gradient langevin dynamics	8	N/A	N/A	METHOD MD:1	N/A	METHOD MD:2 DT:1
knowledge interchange format	8	N/A	N/A	METHOD MD:1	N/A	N/A
personal learning assistant	8	N/A	N/A	METHOD MD:1	METHOD MD:1	N/A
most promising candidate	8	N/A	N/A	N/A	N/A	N/A
visual object classes	8	N/A	N/A	N/A	N/A	N/A
neighborhood component analysis	8	N/A	N/A	METRIC MC:1	METHOD MD:1 MC:1	METRIC MD:1 MC:3
out of knowledge base	8	N/A	N/A	METHOD MD:1	N/A	N/A
speeded up robust features	8	N/A	N/A	N/A	N/A	N/A
degree of coherence	8	N/A	METRIC MC:1	N/A	N/A	N/A
anti phishing working group	8	N/A	N/A	N/A	N/A	N/A
basic sliding window	8	METHOD MD:7	N/A	N/A	METHOD MD:1	N/A
federal communications commission	8	N/A	N/A	N/A	N/A	N/A
recursive lanczos bisection	8	N/A	DATASET DT:3 MC:1	N/A	N/A	N/A
user disagreement model	8	N/A	N/A	N/A	N/A	N/A
enhanced max margin learning	8	METHOD MD:2	METHOD MD:2	METHOD MD:3 DT:2	METHOD MD:2	N/A
multiplicative mixture models	8	N/A	N/A	METHOD MD:2	N/A	N/A
non linear dimensionality reduction	8	METHOD MD:2	METHOD MD:1	N/A	N/A	N/A
minimal test collections	8	N/A	PROBLEM PM:2	PROBLEM PM:4	N/A	N/A
iterative hard thresholding	8	METHOD MD:5	N/A	N/A	N/A	N/A
message authentication code	8	N/A	N/A	N/A	DATASET DT:1 MC:1	N/A
connect the dots	8	N/A	N/A	N/A	N/A	N/A
social collaborative filtering	8	METHOD MD:1	PROBLEM PM:1	PROBLEM PM:1	N/A	N/A
interval estimation	8	N/A	N/A	N/A	N/A	N/A
higher risk brokers	8	N/A	N/A	DATASET DT:1	METHOD MD:1 PM:1	N/A
universal portfolios	8	N/A	N/A	N/A	N/A	N/A
fans minus freaks	8	METRIC MC:1	N/A	N/A	N/A	N/A
support instance machines	8	N/A	N/A	METHOD MD:1	N/A	N/A
indirect mention	8	METRIC MC:1	N/A	METRIC MC:2	N/A	N/A
author conference topic	8	METHOD MD:1	METHOD MD:1	METHOD MD:2	METHOD MD:5	N/A
self organising map	8	N/A	N/A	N/A	METHOD MD:1	METHOD MD:1 PM:1
business process integration	8	N/A	N/A	METHOD MD:1	DATASET DT:1	N/A
demand side platforms	8	N/A	N/A	N/A	N/A	N/A
propensity score matching	8	PROBLEM PM:1	METHOD MD:1	N/A	PROBLEM PM:1	METHOD MD:1
actor network theory	8	N/A	N/A	N/A	N/A	PROBLEM PM:1
frequently asked queries	8	N/A	N/A	N/A	N/A	N/A
minimum bounding envelope	8	N/A	N/A	PROBLEM PM:1	N/A	N/A
consistency rate	8	N/A	N/A	N/A	N/A	N/A
simple knowledge organization system	8	N/A	N/A	N/A	N/A	N/A
orthogonal neighborhood preserving projections	8	N/A	METHOD MD:1	PROBLEM PM:1 DT:1	N/A	N/A
concentration inequality	8	N/A	N/A	N/A	N/A	N/A
significant entities	8	N/A	N/A	METHOD MD:1	N/A	N/A
voice activity detection	8	N/A	N/A	N/A	METHOD MD:1	N/A
shortest path tree	8	N/A	N/A	N/A	N/A	METHOD MD:1
robots are people too	8	N/A	N/A	N/A	N/A	N/A
document understanding conference	8	N/A	N/A	N/A	N/A	PROBLEM PM:2
call detail records	8	N/A	N/A	N/A	N/A	DATASET DT:2
berkeley drosophila embryo	8	N/A	DATASET DT:7	METHOD MD:1	DATASET DT:1	DATASET DT:1
power iteration clustering	8	N/A	METHOD MD:1	METHOD MD:1	N/A	N/A
opinion agreement graph	8	N/A	N/A	N/A	N/A	N/A
minimum clique partition	8	METRIC MC:1	N/A	PROBLEM PM:2	PROBLEM PM:3 MC:1	N/A
mini mental state examination	8	N/A	N/A	METRIC MC:1	N/A	N/A
dirichlet compound multinomial	8	METHOD MD:1	N/A	N/A	METHOD MD:1	METHOD MD:1 PM:1
temporal group lasso	8	N/A	METHOD MD:1 PM:1	N/A	N/A	N/A
maximum weight problem	8	N/A	N/A	PROBLEM PM:1	N/A	N/A
iterative reinforcement categorization	8	METHOD MD:5	N/A	METHOD MD:2	METHOD MD:1	N/A
adaptive web based educational systems	8	N/A	METHOD MD:1	N/A	METHOD MD:1	N/A
class distribution estimation	8	N/A	METHOD MD:1	PROBLEM PM:1	METHOD MD:1	PROBLEM PM:1
breadth first searches	8	N/A	N/A	N/A	N/A	METHOD MD:2
symmetric positive semi definite	8	METRIC MC:1	N/A	N/A	N/A	N/A
extended condorcet criterion	8	N/A	N/A	METRIC MD:1 MC:2	N/A	N/A
phrase frequency	8	DATASET DT:1	N/A	N/A	N/A	N/A
subject predicate object	8	N/A	N/A	N/A	N/A	DATASET DT:1
granule mining	8	METHOD MD:1	DATASET DT:1	DATASET DT:1	N/A	N/A
vector quantization error	8	N/A	N/A	N/A	N/A	N/A
hidden markov model regression	8	N/A	METHOD MD:1	N/A	METHOD MD:1	METHOD MD:1
lyme disease	8	N/A	N/A	N/A	N/A	N/A
higher education institutions	8	N/A	N/A	N/A	N/A	DATASET DT:2
order items	8	METHOD MD:1	N/A	N/A	N/A	N/A
non small cell lung cancer	8	N/A	N/A	N/A	N/A	METHOD MD:1
browser based applications	8	N/A	N/A	N/A	N/A	N/A
spatial decision tree learning	8	METHOD MD:2 PM:2	N/A	METHOD MD:1	PROBLEM PM:3	PROBLEM PM:1
dialogue manager	8	N/A	N/A	N/A	N/A	N/A
health web observatory	8	N/A	N/A	N/A	N/A	N/A
operational text classification	8	N/A	N/A	N/A	N/A	N/A
continuous bag of words	8	METHOD MD:1	METHOD MD:1	METHOD MD:2	N/A	N/A
institutional review board	8	N/A	N/A	N/A	N/A	DATASET DT:2
web site evolution	8	N/A	N/A	N/A	N/A	N/A
bulletin board system	8	PROBLEM PM:1	N/A	N/A	N/A	N/A
dual regularized co clustering	8	N/A	METHOD MD:1	N/A	METHOD MD:4	N/A
random spanning tree	8	N/A	N/A	METHOD MD:1	N/A	N/A
conformer maverick	8	METHOD MD:2	N/A	N/A	METHOD MD:4 PM:1	N/A
in situ hybridization	8	PROBLEM PM:1	N/A	DATASET DT:1	N/A	N/A
spoken dialog systems	8	N/A	N/A	PROBLEM PM:1	N/A	N/A
common gateway interface	8	N/A	N/A	N/A	N/A	N/A
automated valuation models	8	N/A	N/A	N/A	N/A	N/A
relational profile	8	N/A	N/A	METHOD MD:1	N/A	N/A
brand association maps	8	N/A	N/A	N/A	N/A	N/A
digital repository interoperability	8	N/A	METHOD MD:1	N/A	METHOD MD:1	N/A
active server pages	8	N/A	N/A	N/A	N/A	N/A
author recipient topic	8	METHOD MD:5	N/A	METHOD MD:1	METHOD MD:2	N/A
australian computer society	8	N/A	N/A	PROBLEM PM:1 DT:1	N/A	N/A
scalable hyperlink store	8	N/A	N/A	N/A	PROBLEM PM:1	METHOD MD:1
oblivious transfer	7	N/A	N/A	N/A	METHOD MD:1	N/A
additive tree models	7	N/A	N/A	METHOD MD:1	N/A	METHOD MD:1
negative miss	7	N/A	N/A	N/A	N/A	N/A
relational probability tree	7	METHOD MD:2	N/A	N/A	METHOD MD:1	METHOD MD:1
standard generalized markup language	7	N/A	N/A	N/A	N/A	N/A
chief executive officer	7	N/A	N/A	N/A	N/A	N/A
web application server	7	N/A	N/A	METHOD MD:1	N/A	METHOD MD:1
proximal method	7	N/A	N/A	METHOD MD:1	PROBLEM PM:1	N/A
incremental critiquing	7	N/A	N/A	N/A	METHOD MD:1	METHOD MD:1
uniform resource locators	7	N/A	N/A	N/A	N/A	METHOD MD:1
canonical adjacency matrix	7	N/A	N/A	N/A	N/A	N/A
decorative tag detector	7	N/A	N/A	METHOD MD:1	N/A	N/A
average cluster purity	7	N/A	N/A	N/A	N/A	N/A
heat diffusion model	7	N/A	N/A	N/A	METHOD MD:1	N/A
object quality sets	7	N/A	N/A	N/A	N/A	N/A
science citation index	7	N/A	N/A	N/A	DATASET DT:1 MC:1	N/A
local linear embedding	7	N/A	N/A	N/A	N/A	N/A
severe acute respiratory syndrome	7	N/A	N/A	N/A	N/A	N/A
trend analysis model	7	N/A	N/A	N/A	N/A	N/A
positive transitional pattern	7	N/A	N/A	N/A	N/A	DATASET DT:1
susceptible infected recovered	7	N/A	N/A	N/A	METHOD MD:5	METHOD MD:1 PM:1
shape contexts	7	N/A	N/A	N/A	N/A	N/A
user friendship	7	N/A	N/A	DATASET DT:1	METRIC MC:1	N/A
interactive heuristic search	7	N/A	N/A	N/A	METHOD MD:1	METHOD MD:1
inter quartile range	7	N/A	N/A	N/A	N/A	METHOD MD:1
spectral ranking	7	N/A	N/A	N/A	N/A	N/A
global score	7	N/A	N/A	METRIC MC:2	METRIC MC:1	METRIC MC:1
random walk sampling	7	METHOD MD:1	N/A	N/A	METHOD MD:1	N/A
numerical weather prediction	7	METHOD MD:1	DATASET DT:2	PROBLEM PM:1	METHOD MD:2	DATASET DT:1
certificate transparency	7	N/A	N/A	N/A	N/A	N/A
entity topic model	7	N/A	N/A	N/A	METHOD MD:1	N/A
socialized language model smoothing	7	PROBLEM PM:2	PROBLEM PM:2	N/A	N/A	N/A
pearson product moment correlation coefficient	7	N/A	N/A	DATASET DT:1 MC:1	N/A	N/A
predictive toxicology evaluation	7	N/A	N/A	N/A	DATASET DT:1	N/A
inverted document frequency	7	N/A	N/A	N/A	N/A	PROBLEM PM:1
early indicator cars	7	N/A	N/A	N/A	DATASET DT:1	N/A
teaching assistants	7	N/A	N/A	N/A	N/A	N/A
not missing at random	7	N/A	DATASET DT:1	N/A	N/A	N/A
meta decision trees	7	N/A	N/A	N/A	N/A	N/A
static load balancing	7	METHOD MD:3 PM:1	N/A	N/A	N/A	N/A
escalation prediction	7	PROBLEM PM:1	PROBLEM PM:1 DT:1	N/A	PROBLEM PM:3	METHOD MD:1 PM:1
weighted majority voting	7	N/A	N/A	METHOD MD:1	METHOD MD:1	N/A
local closed world assumption	7	N/A	N/A	N/A	N/A	PROBLEM PM:1
language observatory project	7	N/A	N/A	N/A	N/A	N/A
error correcting output coding	7	N/A	N/A	DATASET DT:2	METHOD MD:1	N/A
domain specific modeling	7	N/A	N/A	N/A	N/A	N/A
best propagation tree	7	N/A	N/A	N/A	METHOD MD:1	N/A
upper confidence bounds	7	N/A	N/A	N/A	METHOD MD:1	N/A
time to display	7	N/A	N/A	N/A	N/A	METRIC MC:1
matrix variate normal	7	N/A	METRIC MC:1	N/A	PROBLEM PM:1	N/A
lowest common ancestors	7	N/A	N/A	PROBLEM PM:2	N/A	N/A
bulk synchronous parallel	7	METHOD MD:3	N/A	PROBLEM PM:1	METHOD MD:1	N/A
latent dirichlet co clustering	7	METHOD MD:2	N/A	N/A	METHOD MD:1	N/A
offline tensor analysis	7	N/A	METHOD MD:1	N/A	N/A	N/A
cumulative reciprocal rank	7	N/A	METHOD MD:1	N/A	N/A	METRIC MC:1
column fusing	7	N/A	N/A	N/A	N/A	N/A
graph fractal dimension	7	N/A	N/A	N/A	N/A	METRIC MC:1
maximal frequent linked sets	7	N/A	METRIC MC:1	METHOD MD:1 PM:1	PROBLEM PM:1	N/A
one dependence estimators	7	N/A	N/A	N/A	N/A	N/A
computing and informatics	7	N/A	N/A	METHOD MD:1 PM:1	N/A	N/A
copy count	7	N/A	N/A	N/A	N/A	METHOD MD:1
message sequence chart	7	N/A	N/A	N/A	PROBLEM PM:2	PROBLEM PM:1
topic initiator detection	7	PROBLEM PM:1	METHOD MD:1 PM:1	METHOD MD:1 PM:1	N/A	N/A
cluster correspondence inference	7	N/A	METHOD MD:2	N/A	METHOD MD:3	N/A
coupling from the past	7	N/A	N/A	PROBLEM PM:1	N/A	N/A
short message service	7	N/A	N/A	N/A	N/A	N/A
simple rank	7	METRIC MC:1	METHOD MD:2	N/A	N/A	N/A
discrete haar wavelet transform	7	N/A	N/A	METHOD MD:2	N/A	N/A
spatial access methods	7	N/A	DATASET DT:1	METHOD MD:1	DATASET DT:1	N/A
parameter space exploration	7	N/A	N/A	N/A	N/A	N/A
local binary patterns	7	N/A	N/A	N/A	N/A	N/A
equivalent expression	7	N/A	N/A	N/A	N/A	N/A
linkedin today	7	N/A	N/A	DATASET DT:1	DATASET DT:2	DATASET DT:1
global scores	7	N/A	N/A	N/A	N/A	N/A
relational markov network	7	METHOD MD:1	N/A	METHOD MD:1 DT:1	N/A	N/A
temporally annotated sequences	7	N/A	PROBLEM PM:1	N/A	N/A	N/A
intelligent malware detection system	7	N/A	N/A	N/A	N/A	N/A
direct profile building	7	N/A	N/A	N/A	METHOD MD:1	N/A
hiding failure	7	N/A	N/A	N/A	N/A	N/A
running length	7	N/A	METRIC MC:1	N/A	N/A	N/A
push driven cascade	7	METHOD MD:2	N/A	METHOD MD:1	METHOD MD:4	N/A
semi definite program	7	N/A	N/A	N/A	N/A	N/A
query flow graphs	7	N/A	N/A	N/A	N/A	N/A
higher order naïve bayes	7	N/A	N/A	N/A	METHOD MD:4	N/A
recent temporal patterns	7	N/A	N/A	N/A	N/A	DATASET DT:1
cost per mille	7	N/A	N/A	N/A	N/A	METHOD MD:2
integrated squared error	7	N/A	N/A	N/A	N/A	METRIC MC:1
average effective radius	7	N/A	N/A	N/A	N/A	N/A
term at a time	7	METHOD MD:1	N/A	N/A	METHOD MD:1	N/A
