ENTITY	COUNT	WINDOWSIZE1	WINDOWSIZE2	WINDOWSIZE3	WINDOWSIZE4	WINDOWSIZE5
business analyst	25	N/A	N/A	PROBLEM PM:1	N/A	N/A
latent aspect rating analysis	25	PROBLEM PM:2	PROBLEM MD:1 PM:3	PROBLEM PM:4	DATASET DT:8	METHOD MD:1
scalable vector graphics	25	N/A	N/A	METHOD MD:1 PM:1	N/A	N/A
root mean square	25	METRIC MC:1	METRIC MC:1	N/A	METRIC MC:2	N/A
african american	25	N/A	N/A	N/A	N/A	N/A
baum welch	25	METHOD MD:18	METHOD MD:1 PM:1	METHOD MD:1 MC:1	METHOD MD:3	METHOD MD:1
abstract service	25	N/A	METHOD MD:1	N/A	N/A	PROBLEM PM:1
structural cluster kernel	25	METHOD MD:4	METHOD MD:1	DATASET DT:1	N/A	N/A
user defined function	25	N/A	N/A	METHOD MD:1	METRIC MC:1	N/A
minimum dfs code	25	N/A	METHOD MD:1	PROBLEM PM:1	N/A	N/A
least recently used	25	N/A	METHOD MD:2	N/A	METHOD MD:3	N/A
multi instance learning	25	N/A	N/A	N/A	N/A	PROBLEM PM:1
vector quantization	24	N/A	METHOD MD:1	PROBLEM PM:1	N/A	N/A
maximum a posterior	24	N/A	N/A	N/A	METHOD MD:2 PM:1	N/A
zero altered	24	METHOD MD:1	METHOD MD:6	METHOD MD:1 MC:1	N/A	METHOD MD:1
process handbook	24	N/A	METHOD MD:2 PM:2	N/A	N/A	METHOD MD:1 PM:1
test set accuracy	24	N/A	N/A	N/A	N/A	METHOD MD:1 DT:1
service level agreement	24	METHOD MD:1	METHOD MD:1	N/A	PROBLEM PM:2	PROBLEM PM:2
part of speech tagger	24	N/A	N/A	N/A	PROBLEM PM:1	PROBLEM PM:1
breakeven point	24	N/A	N/A	PROBLEM PM:1	METHOD MD:1 MC:1	DATASET DT:2
k nearest neighbour	24	METHOD MD:2 PM:1	N/A	METHOD MD:2	METHOD MD:2 PM:1	N/A
maximum net profit	24	PROBLEM PM:4	PROBLEM PM:2	N/A	METHOD MD:5 DT:1	METRIC MC:2
learning management system	24	N/A	N/A	N/A	METHOD MD:1 PM:1	DATASET DT:1
knowledge vault	24	N/A	N/A	N/A	N/A	METHOD MD:11
technology enhanced learning	24	N/A	N/A	N/A	N/A	N/A
man in the middle	24	N/A	N/A	N/A	N/A	N/A
vertical search engine	24	N/A	N/A	N/A	METHOD MD:3 PM:1	N/A
weighted slope one	24	METHOD MD:10 MC:2	METHOD MD:1	METHOD MD:2 PM:1	METHOD MD:3	METHOD MD:1
kernel density estimator	24	N/A	N/A	METHOD MD:1 DT:1	N/A	METHOD MD:2
simple voting	24	METHOD MD:6	METHOD MD:2	METHOD MD:1 PM:1 DT:1	DATASET DT:1	N/A
context free grammars	24	N/A	N/A	N/A	N/A	METHOD MD:2 PM:2
deterministic annealing	24	METHOD MD:5 PM:2	METHOD MD:2	PROBLEM PM:2 DT:2	N/A	METHOD MD:1
not of interest	24	N/A	N/A	DATASET DT:2	N/A	N/A
integer linear program	24	N/A	N/A	PROBLEM PM:1	N/A	METRIC MC:1
bayesian probabilistic matrix factorization	24	N/A	METHOD MD:1	N/A	METHOD MD:1	N/A
expected reciprocal rank	24	METRIC MC:2	N/A	N/A	METRIC MC:1	N/A
local search algorithm	24	N/A	METHOD MD:2	METHOD MD:1	METHOD MD:1	METHOD MD:1
singular value thresholding	24	METHOD MD:17	METHOD MD:1	PROBLEM PM:1	METHOD MD:3	N/A
optimal concatenation	24	METHOD MD:1	N/A	N/A	METHOD MD:1 PM:1	METHOD MD:2
contact centers	24	N/A	N/A	DATASET DT:1	METHOD MD:1 PM:1 DT:1	PROBLEM PM:1
web content mining	24	DATASET DT:1	METHOD MD:1	N/A	METHOD MD:1	N/A
decision stump	24	METHOD MD:1	N/A	DATASET DT:1	METHOD MD:1	METHOD MD:2
great britain	24	N/A	PROBLEM PM:1 DT:1	N/A	N/A	N/A
gaussian graphical model	24	N/A	METHOD MD:1	N/A	METHOD MD:1	METHOD MD:2
internet service provider	24	N/A	N/A	N/A	DATASET DT:2	N/A
adaptive web search	24	N/A	N/A	N/A	N/A	N/A
requirements engineering	24	N/A	METRIC MD:1 MC:3	METHOD MD:1 PM:1	PROBLEM PM:2 DT:1 MC:1	PROBLEM PM:1
decision list	24	N/A	N/A	N/A	METRIC MC:1	N/A
flow anomalies	23	METHOD MD:1	N/A	N/A	METHOD MD:1 MC:1	METHOD MD:1
generalized information gain	23	METRIC MC:1	METRIC MC:2	N/A	METRIC MC:1	METRIC MC:1
variance of angles	23	N/A	N/A	DATASET DT:2 MC:1	METHOD MD:6 DT:2	N/A
hierarchical bayes	23	METHOD MD:9	METHOD MD:1	METHOD MD:3 PM:3	METHOD MD:2	METHOD MD:3
linking open data	23	N/A	N/A	DATASET DT:1	DATASET DT:1	METHOD MD:1
k l divergence	23	N/A	PROBLEM PM:1 MC:1	METRIC MC:2	METHOD MD:2 DT:1 MC:2	METHOD MD:1
conference on learning theory	23	N/A	N/A	PROBLEM PM:1	N/A	N/A
probability estimation trees	23	N/A	PROBLEM PM:2	METHOD MD:1	PROBLEM PM:1	METHOD MD:1
assistive technologies	23	N/A	N/A	N/A	N/A	N/A
special interest group	23	N/A	PROBLEM PM:1 DT:1	N/A	DATASET DT:5	DATASET DT:2
social communication network	23	N/A	N/A	METRIC MC:1	METHOD MD:1	N/A
absolute loss	23	N/A	N/A	N/A	DATASET DT:1	N/A
container object	23	N/A	N/A	N/A	N/A	N/A
imbalanced classification	23	PROBLEM PM:1	PROBLEM MD:1 PM:4	N/A	PROBLEM PM:1	PROBLEM PM:1
automatic keyphrase extraction	23	METHOD MD:1	N/A	N/A	N/A	PROBLEM PM:1
chronic kidney disease	23	N/A	N/A	PROBLEM PM:1	DATASET DT:1	DATASET DT:1
erd¨os r´enyi	23	METHOD MD:2	METHOD MD:2	METHOD MD:2 MC:1	METHOD MD:1	N/A
assistive technology	23	N/A	N/A	N/A	N/A	N/A
time ratio	23	N/A	METRIC MC:1	N/A	DATASET DT:1	METHOD MD:1
non intentional traffic	23	N/A	N/A	METHOD MD:2	N/A	PROBLEM PM:1
event based social networks	23	N/A	N/A	N/A	METHOD MD:1	DATASET DT:1
process control	23	METHOD MD:2 PM:1 DT:1	PROBLEM PM:1	DATASET MD:1 PM:1 DT:2	PROBLEM MD:2 PM:3 DT:2	DATASET DT:1
gain ratio	23	N/A	N/A	N/A	METRIC MC:1	METRIC MC:1
count min	23	N/A	PROBLEM PM:3	METHOD MD:1	N/A	DATASET DT:5
local sampling	23	METHOD MD:2 PM:1	METHOD MD:3	METHOD MD:1	METHOD MD:1 MC:1	METHOD MD:2 PM:1
amazon web services	23	N/A	PROBLEM PM:1	N/A	N/A	N/A
generalized discriminant analysis	23	N/A	METHOD MD:1 PM:1	METHOD MD:1 PM:1 MC:1	METHOD MD:1	METHOD MD:2
path simplification	23	METHOD MD:11	METHOD MD:1	METHOD MD:1	METHOD MD:6	METHOD MD:2
negative rank	23	N/A	METRIC MC:1	METRIC MC:1	N/A	METRIC MC:2
principle component analysis	23	N/A	PROBLEM PM:1	N/A	METRIC MC:2	DATASET DT:1
cyclic coordinate descent	23	METHOD MD:11	N/A	METHOD MD:2	METHOD MD:1	N/A
receiver operating characteristics	23	N/A	N/A	N/A	METRIC MC:1	N/A
weighted association rule mining	23	METHOD MD:1 PM:1	N/A	PROBLEM PM:1	METHOD MD:1 PM:1	DATASET DT:6
deep neural network	23	METHOD MD:1	N/A	N/A	N/A	METHOD MD:1 DT:1
content access	23	N/A	PROBLEM PM:1	METHOD MD:1 PM:1	METHOD MD:1	METHOD MD:1
business process execution language	23	N/A	N/A	METHOD MD:1 PM:1	N/A	N/A
single labeling	23	N/A	N/A	N/A	METRIC MC:1	N/A
buy it now	23	METRIC MC:1	N/A	N/A	N/A	N/A
social advertising	22	N/A	PROBLEM PM:2	METHOD MD:2 PM:1	N/A	N/A
dirichlet process mixture model	22	N/A	N/A	METHOD MD:3	METHOD MD:3	METHOD MD:1
south china	22	N/A	N/A	DATASET DT:1	N/A	METHOD MD:1
virtual environments	22	N/A	N/A	N/A	METHOD MD:2 PM:1	N/A
frequent episode mining	22	N/A	METHOD MD:3 PM:3	N/A	N/A	N/A
weighted distance	22	METRIC MC:2	METHOD MD:1 DT:1	N/A	DATASET DT:1 MC:1	N/A
event category	22	DATASET DT:1	METHOD MD:1	N/A	N/A	DATASET DT:3
games with a purpose	22	N/A	N/A	N/A	DATASET DT:1	N/A
robots exclusion protocol	22	N/A	N/A	N/A	N/A	N/A
domain specific language	22	N/A	N/A	METHOD MD:1 PM:1 DT:1	DATASET PM:1 DT:2	N/A
wavelet tree	22	N/A	DATASET DT:1	DATASET DT:1	DATASET DT:3	N/A
bayesian browsing model	22	N/A	N/A	N/A	DATASET DT:10	N/A
query entropy	22	N/A	DATASET DT:1	PROBLEM PM:1	DATASET DT:1	N/A
weighted linear combination	22	METHOD MD:1	N/A	METRIC MC:2	METHOD MD:1 MC:1	METHOD MD:1
intelligent transportation systems	22	N/A	N/A	DATASET DT:1	N/A	PROBLEM PM:1
digital signage	22	PROBLEM PM:2	METHOD MD:2 PM:1	METRIC MC:1	DATASET DT:1	N/A
local kemenization	22	METHOD MD:2	PROBLEM MD:1 PM:2	METHOD MD:1	PROBLEM PM:1	METHOD MD:1
silent rate	22	N/A	N/A	N/A	N/A	N/A
median sweep	22	N/A	N/A	METHOD MD:1	METHOD MD:2	N/A
emergency department	22	DATASET DT:5	DATASET DT:2	DATASET DT:2	DATASET DT:1	N/A
learning management systems	22	N/A	N/A	N/A	N/A	N/A
collective disambiguation	22	METHOD MD:1 PM:1	N/A	METHOD MD:2	N/A	METRIC MC:1
positive definiteness	22	N/A	N/A	METHOD MD:1	N/A	METRIC MC:1
national basketball association	22	N/A	N/A	N/A	N/A	N/A
query trees	22	N/A	N/A	DATASET DT:2	METHOD MD:1 DT:1	DATASET DT:1
consistent weighted sampling	22	METHOD MD:3	METHOD MD:2	N/A	METHOD MD:1 PM:1	N/A
ending time	22	N/A	N/A	PROBLEM PM:1	N/A	N/A
multi word expressions	22	N/A	METHOD MD:1	N/A	N/A	N/A
annual computer security applications conference	22	N/A	N/A	N/A	N/A	N/A
application programming interface	22	DATASET DT:1	N/A	N/A	PROBLEM PM:1	DATASET DT:1
open hypermedia systems	22	N/A	METHOD MD:2	N/A	PROBLEM PM:1	METHOD MD:1
influence difference maximization	22	PROBLEM PM:5	METRIC MC:4	METHOD MD:1 PM:1 MC:1	PROBLEM PM:1 MC:1	PROBLEM PM:1
independent cascades	22	METHOD MD:7 PM:1	METHOD MD:1 PM:1	METHOD MD:1 DT:1	METHOD MD:2 PM:1	METHOD MD:2 PM:1
community guided attachment	22	METHOD MD:6	N/A	METHOD MD:1	METHOD MD:1	N/A
spatial ordering	22	N/A	N/A	N/A	N/A	N/A
relational probability trees	22	N/A	N/A	METHOD MD:1	N/A	N/A
call center	22	N/A	METRIC MC:1	METHOD MD:2	PROBLEM PM:1	METHOD MD:1
adaptation algorithm	22	METHOD MD:1	N/A	METHOD MD:2	METHOD MD:2	N/A
ordinal peer grading	22	PROBLEM PM:2	PROBLEM PM:3	N/A	PROBLEM PM:1	METHOD MD:1
distributed information retrieval	22	METHOD MD:1	METHOD MD:1	N/A	PROBLEM PM:1	PROBLEM PM:1
search engine results page	22	N/A	N/A	N/A	N/A	N/A
complementary cumulative distribution function	22	N/A	N/A	N/A	N/A	METRIC MC:1
reinforced poisson process	22	METHOD MD:11	METHOD MD:2	METHOD MD:5	METHOD MD:2	METHOD MD:5 PM:2
least misery	21	METHOD MD:7	N/A	METHOD MD:2	METHOD MD:1 PM:1	DATASET DT:1
mixed integer programming	21	PROBLEM MD:1 PM:2	METHOD MD:1	PROBLEM PM:2	PROBLEM MD:2 PM:4	N/A
linear assumption	21	N/A	METRIC MC:1	METHOD MD:2 DT:1 MC:1	N/A	DATASET MD:1 DT:2
intensive care unit	21	DATASET DT:2	N/A	N/A	N/A	PROBLEM PM:1 DT:1
multi instance multi label	21	METHOD MD:1 DT:1	METHOD MD:3 MC:1	METHOD MD:1 PM:1	DATASET DT:1	N/A
principles of distributed computing	21	N/A	N/A	N/A	N/A	PROBLEM PM:2
research goals	21	N/A	N/A	PROBLEM PM:1	PROBLEM PM:1	METHOD MD:1 DT:1
unique name assumption	21	N/A	N/A	N/A	PROBLEM PM:1	N/A
gradient boosted regression trees	21	N/A	METHOD MD:2	METHOD MD:2	N/A	METHOD MD:1
heterogeneous transfer learning	21	METHOD MD:1 PM:1	N/A	PROBLEM PM:1 DT:1	METHOD MD:1	N/A
virtual environment	21	N/A	PROBLEM PM:1	PROBLEM PM:1	N/A	PROBLEM PM:1
reference implementation	21	N/A	N/A	METHOD MD:1	N/A	METHOD MD:1
origin destination	21	N/A	N/A	N/A	DATASET DT:1	DATASET MD:1 DT:4
trade area analysis	21	METHOD MD:1 PM:1	N/A	DATASET DT:2	DATASET MD:1 DT:2	DATASET DT:1
trail length	21	N/A	N/A	N/A	N/A	DATASET DT:2
gradient boosted decision tree	21	METHOD MD:2	METHOD MD:2	METHOD MD:1 DT:1	METHOD MD:5	N/A
hard drives	21	N/A	N/A	N/A	DATASET DT:1	PROBLEM PM:2
tweet density	21	N/A	N/A	N/A	N/A	N/A
restricted boltzmann machines	21	N/A	N/A	METHOD MD:1	METHOD MD:1	METHOD MD:1
mutual refinement strategy	21	METHOD MD:2	METHOD MD:1 PM:1	METHOD MD:1	N/A	METHOD MD:1 PM:1
dynamic model selection	21	METHOD MD:2	N/A	N/A	METHOD MD:2	N/A
open world assumption	21	N/A	N/A	DATASET DT:1	METRIC MC:1	PROBLEM PM:1
random mixture	21	METHOD MD:1	N/A	N/A	DATASET DT:1	METHOD MD:1 DT:1
search engine optimization	21	N/A	N/A	METHOD MD:1	N/A	N/A
corruption matrix	21	N/A	N/A	DATASET DT:2	N/A	METHOD MD:1
deep belief network	21	N/A	N/A	PROBLEM PM:1	N/A	METHOD MD:1
local outlier factor	21	METHOD MD:2	METHOD MD:1 MC:1	METHOD MD:2 MC:2	METHOD MD:1	N/A
stochastic block model	21	N/A	N/A	METHOD MD:3	N/A	METHOD MD:1
dialogue systems	21	N/A	PROBLEM PM:1	METHOD MD:1	N/A	PROBLEM PM:1
traveling salesman problem	21	N/A	N/A	METHOD MD:3	N/A	METHOD MD:1 PM:1
computer aided detection	21	N/A	METHOD MD:1	N/A	METHOD MD:1 PM:1 DT:1	PROBLEM PM:1 DT:1
stochastic complexity	21	N/A	N/A	N/A	N/A	METHOD MD:3 DT:1
common name	21	N/A	N/A	N/A	N/A	N/A
impact focus	21	N/A	N/A	N/A	N/A	N/A
sequential monte carlo	21	METHOD MD:1	METHOD MD:1	METHOD MD:1	METHOD MD:4 DT:1	METHOD MD:1
greedy agglomerative clustering	21	METHOD MD:4	METHOD MD:2	METHOD MD:1 PM:1 MC:1	METHOD MD:4	N/A
product information management	20	METHOD MD:2	DATASET DT:2	METHOD MD:2 DT:1	N/A	DATASET DT:1 MC:1
predictive association rules	20	N/A	N/A	N/A	N/A	DATASET DT:1
spatial outlier detection	20	N/A	METHOD MD:3 PM:1	DATASET DT:1	METHOD MD:1	N/A
all pairs similarity search	20	N/A	METRIC MC:1	N/A	N/A	N/A
computer aided diagnosis	20	PROBLEM PM:2	METRIC MC:1	METHOD MD:2 MC:1	PROBLEM PM:2	N/A
topic over time	20	METHOD MD:1	METHOD MD:1	METHOD MD:1	METHOD MD:3	METHOD MD:1
western music	20	DATASET DT:2	N/A	N/A	N/A	N/A
dependency networks	20	DATASET DT:1	N/A	DATASET DT:3	N/A	DATASET DT:1
cross lingual information retrieval	20	PROBLEM PM:1	METHOD MD:2	N/A	N/A	N/A
single task learning	20	METHOD MD:3	N/A	PROBLEM PM:2	METHOD MD:1	METHOD MD:1 PM:1
perturbation guidance	20	PROBLEM PM:1 DT:1	N/A	DATASET DT:3 MC:1	DATASET PM:2 DT:3	PROBLEM PM:2 DT:2
feature number	20	N/A	N/A	N/A	N/A	N/A
non searchable forms	20	N/A	N/A	N/A	N/A	DATASET DT:3
social rating networks	20	N/A	METHOD MD:5	N/A	METHOD MD:2	METHOD MD:2
transfer model	20	N/A	N/A	METHOD MD:2 DT:1	N/A	METHOD MD:2 PM:1 DT:1
activity network	20	N/A	N/A	N/A	N/A	METHOD MD:1
contrast classifier	20	METHOD MD:1	N/A	DATASET DT:1	N/A	N/A
marginal increase	20	N/A	METRIC MC:1	METRIC MC:3	METRIC MC:2	N/A
semantic web conference	20	N/A	N/A	N/A	N/A	N/A
user centered design	20	METHOD MD:4 PM:1	PROBLEM PM:1	N/A	METHOD MD:1	N/A
community gravity	20	METRIC MC:1	METHOD MD:1 MC:1	METHOD MD:1 MC:1	N/A	N/A
meta algorithms	20	N/A	N/A	METHOD MD:1	N/A	N/A
frequent xml query patterns	20	N/A	METHOD MD:1	METHOD MD:3	METHOD MD:2 DT:1	METHOD MD:3 DT:1
service oriented architectures	20	N/A	N/A	METHOD MD:1 PM:1	N/A	PROBLEM PM:1
closed world assumption	20	N/A	N/A	DATASET DT:2	PROBLEM PM:3	N/A
kernel target alignment	20	N/A	N/A	N/A	N/A	PROBLEM PM:1
page description	20	N/A	N/A	N/A	METHOD MD:2	N/A
winner takes all	20	METHOD MD:1	METHOD MD:2	N/A	METHOD MD:1 DT:1	N/A
information seeking process	20	N/A	N/A	N/A	METHOD MD:2	N/A
visual programming	20	N/A	PROBLEM PM:1	METHOD MD:2 PM:2 DT:1	N/A	DATASET DT:1
piecewise aggregate approximation	20	METHOD MD:1	N/A	METHOD MD:1	METHOD MD:1	N/A
never ending language learning	20	N/A	METHOD MD:16	N/A	N/A	N/A
conditional anomaly detection	20	METHOD MD:3	METHOD MD:3 PM:1	METHOD MD:3 DT:1 MC:1	DATASET DT:1	DATASET DT:1
completion trie	20	DATASET DT:1	METRIC MC:1	METHOD MD:2	METHOD MD:1 DT:1 MC:1	METHOD MD:1 DT:1 MC:1
clusters over time	20	N/A	N/A	METHOD MD:1	METHOD MD:1	METHOD MD:3 MC:1
dynamic itemset counting	20	N/A	N/A	N/A	N/A	N/A
online labor markets	20	N/A	N/A	N/A	PROBLEM PM:1	N/A
poisson dirichlet process	20	METRIC MC:8	METHOD MD:1	PROBLEM PM:1	N/A	METHOD MD:1 PM:1
individual diffusion	19	METHOD MD:9 PM:4	METHOD MD:2	N/A	N/A	N/A
cyclic pattern kernels	19	N/A	N/A	PROBLEM PM:1	N/A	N/A
strong triadic closure	19	N/A	N/A	N/A	N/A	N/A
out of vocabulary	19	PROBLEM PM:1	N/A	N/A	METHOD MD:1 PM:1	PROBLEM PM:1
must link before	19	N/A	N/A	N/A	DATASET DT:1 MC:1	N/A
degree discount	19	METRIC MC:1	METHOD MD:2	METHOD MD:2	METHOD MD:1	N/A
training set error	19	METRIC MC:2	PROBLEM PM:1 MC:1	N/A	PROBLEM PM:1 DT:1	METRIC MC:1
posterior regularization	19	METHOD MD:1	METHOD MD:1	METHOD MD:1 MC:1	METHOD MD:1	N/A
concept model	19	N/A	N/A	N/A	N/A	METHOD MD:1 DT:1
predictive text embedding	19	N/A	PROBLEM MD:1 PM:4	METHOD MD:2	DATASET DT:1	N/A
optical character recognition	19	N/A	N/A	N/A	PROBLEM PM:1	N/A
location based service	19	N/A	PROBLEM PM:2	DATASET MD:1 DT:2	METHOD MD:2 DT:1	DATASET DT:1
pitman yor process	19	N/A	METHOD MD:2 PM:1	METRIC MC:1	N/A	METHOD MD:1
link model	19	N/A	N/A	DATASET PM:1 DT:2	METHOD MD:1	METHOD MD:1 PM:1
explore exploit	19	METHOD MD:1	N/A	N/A	METHOD MD:2	N/A
kuramoto model	19	N/A	N/A	N/A	PROBLEM PM:1 DT:1 MC:1	N/A
public relations	19	PROBLEM PM:1	N/A	N/A	PROBLEM PM:1	PROBLEM PM:1
air force research laboratory	19	N/A	N/A	N/A	N/A	N/A
exponential random graph models	19	N/A	N/A	N/A	N/A	N/A
text to speech	19	PROBLEM PM:1	N/A	METHOD MD:1	PROBLEM MD:1 PM:3	N/A
adaptation knowledge	19	N/A	N/A	N/A	METHOD MD:1	METHOD MD:1
transactions on mathematical software	19	N/A	N/A	METHOD MD:1	N/A	N/A
knowledge discovery system	19	N/A	N/A	METHOD MD:1 DT:1	METHOD MD:2 PM:2	METHOD MD:2 PM:1
multinomial logistic regression	19	METHOD MD:4	PROBLEM PM:1	DATASET DT:1	METHOD MD:3	N/A
discourse analysis	19	N/A	N/A	PROBLEM PM:1	N/A	N/A
collaborative web search	19	N/A	PROBLEM PM:2 DT:2	N/A	PROBLEM MD:1 PM:2	DATASET DT:1
end user development	19	N/A	PROBLEM MD:1 PM:2	PROBLEM PM:4	N/A	N/A
behavior factorization	19	METHOD MD:8 PM:1	METHOD MD:1	N/A	METHOD MD:5	N/A
correlated topic model	19	N/A	N/A	N/A	METHOD MD:1	METHOD MD:1
dynamic topic model	19	N/A	METHOD MD:1	N/A	N/A	N/A
national cancer institute	19	N/A	DATASET DT:1	DATASET DT:1	DATASET DT:2	DATASET DT:1
social network systems	19	N/A	N/A	N/A	METHOD MD:1 PM:1	N/A
dynamic weighted majority	19	METHOD MD:1	METHOD MD:3	N/A	METHOD MD:1	METHOD MD:6
shipping address	19	N/A	METHOD MD:1	METHOD MD:1	N/A	N/A
science foundation ireland	19	N/A	N/A	N/A	N/A	N/A
auto mpg	19	DATASET DT:3	N/A	DATASET DT:2	DATASET DT:1	N/A
textual relevance	19	METRIC MC:2	N/A	N/A	METRIC MC:2	N/A
automatic resource compilation	19	N/A	N/A	N/A	N/A	N/A
linear dynamical systems	19	N/A	METHOD MD:2	METRIC MC:4	N/A	METHOD MD:1
automatic speech recognition	19	N/A	PROBLEM MD:1 PM:2	N/A	N/A	PROBLEM MD:1 PM:2
chinese restaurant franchise	19	METHOD MD:4 PM:4	N/A	PROBLEM PM:1	METHOD MD:3 PM:1	N/A
slot filling	19	PROBLEM PM:4	N/A	PROBLEM PM:2	PROBLEM PM:1	N/A
dominant origin	19	METRIC MC:3	N/A	METRIC MC:2	METHOD MD:2 DT:1 MC:1	PROBLEM PM:2 MC:1
weisfeiler lehman	19	METHOD MD:1	N/A	N/A	METHOD MD:1	METHOD MD:1
instant message	18	N/A	N/A	N/A	N/A	DATASET DT:1
sloan digital sky survey	18	N/A	N/A	DATASET DT:2	DATASET DT:1	DATASET DT:2
text analysis conference	18	N/A	PROBLEM PM:1	N/A	PROBLEM PM:2	DATASET DT:1
shared cascade poisson processes	18	METHOD MD:1	METHOD MD:1	METHOD MD:1 DT:1	N/A	DATASET DT:1 MC:1
distance decay	18	N/A	N/A	N/A	METHOD MD:1	N/A
content distribution network	18	N/A	N/A	PROBLEM PM:1 DT:1	N/A	N/A
pairwise function decomposition	18	METHOD MD:16	N/A	METHOD MD:5 MC:1	DATASET DT:1 MC:1	METHOD MD:3
round trip times	18	N/A	METHOD MD:1	METRIC MC:1	N/A	N/A
out of bag	18	N/A	METHOD MD:2	N/A	N/A	METHOD MD:3
relative reduction	18	N/A	N/A	N/A	METHOD MD:3	METHOD MD:1
continuous time markov chain	18	N/A	N/A	METHOD MD:2 PM:1	METHOD MD:1 PM:1	N/A
similarity aggregation	18	N/A	N/A	N/A	METHOD MD:1	METHOD MD:1
individually rational	18	METHOD MD:1	N/A	N/A	N/A	METHOD MD:1
graphlet kernel	18	N/A	METHOD MD:1	N/A	N/A	N/A
local statistics	18	METHOD MD:1	N/A	N/A	DATASET PM:1 DT:2	METHOD MD:2 PM:2
low quality data	18	N/A	N/A	N/A	N/A	DATASET DT:2
anomaly pattern detection	18	METHOD MD:2	METHOD MD:1	N/A	METHOD MD:2	METRIC MC:1
distributed approach	18	N/A	N/A	DATASET DT:1	N/A	METHOD MD:1
akaike information criterion	18	N/A	N/A	N/A	METHOD MD:1 MC:1	METHOD MD:2
generalized expectation	18	N/A	METHOD MD:2	N/A	DATASET DT:1	N/A
quasi experimental designs	18	N/A	N/A	N/A	PROBLEM PM:1 DT:1	N/A
files of interest	18	N/A	N/A	N/A	METRIC MC:2	N/A
european semantic web conference	18	N/A	N/A	N/A	N/A	N/A
feedback arc set	18	PROBLEM PM:12	N/A	METHOD MD:1	METHOD MD:1 PM:1	PROBLEM MD:1 PM:2
non conservative	18	METRIC MC:3	METRIC MD:1 MC:2	N/A	PROBLEM PM:1	N/A
expected improvement	18	N/A	METHOD MD:3	METHOD MD:1	METHOD MD:1	METHOD MD:1 MC:1
tetherless world constellation	18	N/A	N/A	N/A	METHOD MD:2 DT:2	METHOD MD:1
sub itemsets	18	N/A	N/A	N/A	N/A	N/A
inverse reinforcement learning	18	METHOD MD:4 PM:2	METHOD MD:1	N/A	N/A	N/A
semantic link network	18	METHOD MD:1	N/A	METHOD MD:1	METHOD MD:2	METHOD MD:2 DT:2
lexical quality	18	METRIC MC:2	METRIC MC:1	METRIC MC:1	N/A	N/A
cumulative density function	18	N/A	N/A	METRIC MC:2	N/A	METRIC MC:1
degree of agreement	18	N/A	N/A	METRIC MC:1	METRIC MC:1	METRIC MC:3
small document	18	N/A	N/A	PROBLEM PM:3	METHOD MD:3	N/A
column pruning	18	N/A	N/A	N/A	N/A	N/A
weighted cascade	18	METHOD MD:12	DATASET DT:1	METHOD MD:2	METHOD MD:1	METHOD MD:1
post period	18	N/A	N/A	N/A	METRIC MC:1	N/A
product development	18	PROBLEM MD:2 PM:4	DATASET DT:1	PROBLEM PM:1 DT:1	N/A	DATASET PM:1 DT:2
projection overlap ratio	18	N/A	N/A	N/A	METRIC MC:2	METRIC MC:1
activity rate	18	N/A	N/A	N/A	METRIC MC:1	N/A
fuzzy c means	18	METHOD MD:3	METHOD MD:4	METHOD MD:1	N/A	METHOD MD:1
wayback machine	18	N/A	METHOD MD:1 PM:1	N/A	N/A	N/A
value based web caching	18	METHOD MD:1	PROBLEM PM:1	PROBLEM PM:2	PROBLEM PM:1	N/A
software developer	18	PROBLEM PM:2	PROBLEM PM:2	PROBLEM PM:3	PROBLEM PM:4	PROBLEM PM:3
classification association rule mining	18	N/A	PROBLEM MD:2 PM:6 DT:1	METHOD MD:1	METHOD MD:1	N/A
maximum independent set	18	PROBLEM PM:6 MC:2	N/A	N/A	N/A	N/A
microsoft academic search	18	DATASET DT:3	DATASET DT:2	N/A	DATASET DT:2	N/A
benefit given	18	N/A	METRIC MC:1	N/A	N/A	METRIC MC:1
marginal relevance	18	N/A	N/A	METRIC MC:3	METHOD MD:1	METRIC MC:2
intelligent tutoring systems	18	N/A	N/A	N/A	N/A	N/A
general click model	18	N/A	METHOD MD:1	METHOD MD:2	N/A	METHOD MD:1
lazy evaluation	18	METHOD MD:3 PM:1	N/A	METHOD MD:3	N/A	METHOD MD:1
cost per action	18	N/A	METHOD MD:1	N/A	METHOD MD:1	N/A
kernel logistic regression	18	N/A	METHOD MD:2	DATASET DT:1	N/A	METHOD MD:2
point of sale	18	DATASET PM:1 DT:3	DATASET DT:3	N/A	PROBLEM PM:2 DT:2	DATASET DT:1
semantic web documents	18	N/A	N/A	N/A	METHOD MD:2	N/A
model view controller	18	N/A	PROBLEM PM:1	PROBLEM PM:2	METHOD MD:1 PM:1	METHOD MD:1 PM:1
geographic information system	18	N/A	PROBLEM PM:1	DATASET DT:1	PROBLEM PM:2 DT:1 MC:1	N/A
transactions on computer systems	18	N/A	N/A	PROBLEM PM:1	METHOD MD:2 PM:2 DT:1	N/A
linguistic data consortium	18	DATASET DT:2	N/A	DATASET DT:1	DATASET DT:1	N/A
social networking service	18	N/A	N/A	N/A	N/A	N/A
document specific feature selection	18	N/A	N/A	N/A	N/A	METHOD MD:2 PM:1
